step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
686,CASH_OUT,1467968.73,C1032013375,1467968.73,0.0,C293921513,0.0,1467968.73,1,0
210,CASH_OUT,113615.25,C1933223662,7905.0,0.0,C657984082,597940.5,711555.75,0,0
308,CASH_IN,57180.32,C483203297,2249932.73,2307113.05,C1835281457,206526.46,149346.14,0,0
34,CASH_IN,222389.38,C703351260,6846615.66,7069005.04,C163255774,449960.13,227570.75,0,0
276,CASH_OUT,41845.14,C1597072697,0.0,0.0,C421084235,3341767.77,3383612.91,0,0
229,CASH_OUT,267426.85,C1986539097,369888.0,102461.15,C1335265131,112813.79,380240.63,0,0
249,TRANSFER,56013.0,C1536825643,56013.0,0.0,C892318279,0.0,0.0,1,0
376,PAYMENT,23863.41,C1778413830,1723.0,0.0,M158042913,0.0,0.0,0,0
8,CASH_OUT,3363.94,C1996096845,0.0,0.0,C1986798172,24566.0,0.0,0,0
379,TRANSFER,565760.42,C1294004955,720.0,0.0,C1016715929,1154.32,566914.75,0,0
285,PAYMENT,21910.72,C231934949,0.0,0.0,M1390510279,0.0,0.0,0,0
136,PAYMENT,10588.88,C1076373916,215788.6,205199.72,M1005201773,0.0,0.0,0,0
136,CASH_OUT,153185.47,C2109449668,0.0,0.0,C133715443,471237.64,894811.49,0,0
588,CASH_IN,204149.44,C1717616297,82488.0,286637.44,C1391796066,630604.62,426455.17,0,0
136,PAYMENT,27756.17,C372301338,0.0,0.0,M14753919,0.0,0.0,0,0
15,PAYMENT,4075.38,C1858235996,1519471.87,1515396.49,M420281615,0.0,0.0,0,0
259,CASH_OUT,13691.58,C732545512,108350.63,94659.05,C1657199588,45273.68,58965.26,0,0
132,PAYMENT,2162.34,C1671781467,0.0,0.0,M1914715416,0.0,0.0,0,0
260,CASH_OUT,65163.6,C730154681,0.0,0.0,C1023789123,760337.35,825500.94,0,0
142,CASH_OUT,30461.87,C385664922,21299.0,0.0,C933624847,63944.69,94406.56,0,0
9,CASH_IN,58577.98,C1372242840,9873.0,68450.98,C1374188173,7003.0,0.0,0,0
372,PAYMENT,39603.94,C277488274,0.0,0.0,M252505885,0.0,0.0,0,0
192,PAYMENT,4034.74,C1929585528,11133.0,7098.26,M214718063,0.0,0.0,0,0
9,PAYMENT,19675.67,C915841143,273097.75,253422.08,M77973223,0.0,0.0,0,0
299,CASH_OUT,122248.76,C1842549250,199125.0,76876.24,C1131833416,6713076.45,6835325.21,0,0
398,CASH_IN,303267.37,C1797343703,77280.0,380547.37,C842815443,94158.14,0.0,0,0
188,PAYMENT,4556.05,C1410575418,57821.0,53264.95,M385550436,0.0,0.0,0,0
333,CASH_OUT,15553.54,C1276361272,0.0,0.0,C2019943212,2923389.25,2938942.79,0,0
188,PAYMENT,9586.1,C29286459,0.0,0.0,M705390879,0.0,0.0,0,0
257,PAYMENT,17038.9,C1727403854,60354.0,43315.1,M1669914626,0.0,0.0,0,0
19,CASH_IN,69591.2,C1362692929,108249.0,177840.2,C1083336186,249143.26,179552.06,0,0
399,CASH_OUT,322695.51,C604696976,67200.0,0.0,C1529167375,528102.7,850798.21,0,0
371,CASH_OUT,327464.09,C1114450085,88792.87,0.0,C416731869,3418672.14,3746136.23,0,0
330,CASH_OUT,36236.15,C898955169,40031.0,3794.85,C900252232,47455870.66,47492106.81,0,0
211,PAYMENT,15557.11,C1481269171,194330.09,178772.98,M1614714944,0.0,0.0,0,0
378,CASH_IN,56495.3,C1819063021,12616745.24,12673240.54,C2111716718,4314046.36,4257551.06,0,0
167,CASH_IN,356281.5,C444882123,672549.67,1028831.17,C1846533901,1504409.19,1148127.69,0,0
387,TRANSFER,9110884.44,C1402670582,9110884.44,0.0,C1633747285,0.0,0.0,1,0
154,PAYMENT,3164.72,C1830523219,0.0,0.0,M772613626,0.0,0.0,0,0
155,CASH_OUT,484360.58,C1994757658,9013.0,0.0,C1982487072,649559.59,1514285.07,0,0
404,CASH_OUT,376230.69,C2025233880,0.0,0.0,C381949703,2575555.79,2951786.48,0,0
255,PAYMENT,4108.2,C1289500383,160393.34,156285.14,M269937142,0.0,0.0,0,0
307,CASH_IN,51998.39,C81547776,14228863.46,14280861.85,C626274719,748102.83,696104.44,0,0
188,CASH_OUT,158152.92,C1763587631,0.0,0.0,C1367667703,361648.21,519801.13,0,0
202,PAYMENT,15922.72,C1621338405,199999.0,184076.28,M112150761,0.0,0.0,0,0
